0101.10.00; Reproducteurs de race pure(*).............;5;TET
0101.90.00; Autres(*).............................................................;30;TET
0102.10.00; Reproducteurs de race pure ;;TET
0102.90.00; Autres;30;TET
0102.90.10; Boeufs(*)...........................................................;30;TET
0102.90.90; Autres(*)...........................................................;30;TET
0103.10.00; Reproducteurs de race pure(*)..............................;5;TET
0103.91.00; D'un poids inférieur à 50 kg(*)..........................;30;TET
0103.92.00; D'un poids égal ou supérieur à 50 kg(*)..............;30;TET
0104.10.00; De l'espèce ovine ;30;TET
0104.20.00; De l'espèce caprine(*)..........................................;30;TET
0105.11.00; Coqs et poules....................................................;5;
0105.12.00; Dindes et dindons...............................................;5;
0105.19.00; Autres................................................................;5;
0105.94.00; Coqs et poules ..;30;
0105.99.00; Autres................................................................;30;
0106.11.00; Primates................................................................;30;TET
0106.12.00;" Baleines, dauphins et marsouins (mammifères de l'ordre des cétacés) ; lamantins et du";30;TET
0106.19.00; Autres ..................................................................;30;TET
0106.20.00; reptiles  (y  compris  les  serpents  et les tortues de mer) .........................;30;TET
0106.31.00; Oiseaux de proie...............................................;30;TET
0106.32.00; Psittaciformes (y compris les perroquets, perruches , aras et cacatoès).....;30;TET
0106.39.00; Autres............................................................;30;TET
0106.90.10; Chameaux............................................................;30;TET
0106.90.20; Chamelles.......................................................;30;TET
0106.90.30; Chamelons........................................................;30;TET
0106.90.90; Autres..................................................................;30;TET
0201.10.00; En carcasses ou demicarcasses...........................;20;
0201.20.00; Autres morceaux non désossés...........................;20;
0201.30.00; Désossées..........................................................;20;
0202.10.00;En carcasses ou demicarcasses..........................;20;
0202.20.00; Autres morceaux non désossés........................;20;
0202.30.00;Désossées..............................................................;20;
0203.11.00; En carcasses ou demicarcasses.......................;20;
0203.12.00; Jambons, épaules et leurs morceaux, non  désossés....................................;;
0203.19.00; Autres.............................................................;20;
0203.21.00; En carcasses ou demicarcasses.........................;20;
0203.22.00; Jambons, épaules et leurs morceaux, non désossés.....................................;20;
0203.29.00; Autres..............................................................;20;
0204.10.00; Carcasses et demicarcasses d'agneau, fraîches ou réfrigérées.........................;20;
0204.21.00; En carcasses ou demicarcasses......................;20;
0204.22.00; En autres morceaux non désossés...................;20;
0204.23.00; Désossées........................................................;20;
0204.30.00; Carcasses et demicarcasses d'agneau, congelées;20;
0204.41.00; En carcasses ou demicarcasses..........................;20;
0204.42.00; En autres morceaux non désossés.......................;20;
0204.43.00; Désossées..........................................................;20;
0204.50.00; Viandes des animaux de l'espèce caprine..........;20;
0205.00.00;Viandes des  animaux des espèces  chevaline, asine ou mulassière, fraîches, réfrigérées ;20;
0206.10.00; De l'espèce bovine, frais ou réfrigérés..............;20;
0206.21.00; Langues...........................................................;20;
0206.22.00; Foies.................................................................;20;
0206.29.10; Queues............................................................;20;
0206.29.90; Autres...............................................................;20;
0206.30.00; De l'espèce porcine, frais ou réfrigérés.;20;
0206.41.00; Foies...............................................................;20;
0206.49.10; Pieds et queues...........................................;20;
0206.49.90; Autres..........................................................;20;
0206.80.00; Autres, frais ou réfrigérés...................................;20;
0206.90.00; Autres, congelés..............................................;20;
0207.11.00; Non découpés en morceaux, frais ou réfrigérés.;5;
0207.12.00; Non découpés en morceaux, congelés.............;5;
0207.13.00; Morceaux et abats, frais ou réfrigérés................;5;
0207.14.00; Morceaux et abats, congelés............................;5;
0207.24.00; Non découpés en morceaux, frais ou réfrigérés...;5;
0207.25.00; Non découpés en morceaux, congelés..............;5;
0207.26.00; Morceaux et abats, frais ou réfrigérés.............;5;
0207.27.00; Morceaux et abats, congelés...........................;5;
0207.32.00; Non découpés en morceaux, frais ou réfrigérés........................................;5;
0207.33.00; Non découpés en morceaux, congelés.............;5;
0207.34.00; Foies gras, frais ou réfrigérés...........................;5;
0207.35.00; Autres, frais ou réfrigérés.................................;5;
0207.36.00; Autres, congelés.............................................;5;
0208.10.00; De lapins ou de lièvres....................................;20;
0208.30.00; de primates...........................................................;20;
0208.40.00;" de baleines, dauphins et marsouins (mammifères de l'ordre des cétacés) ; de lamantins ";20;
0208.50.00; De reptiles (y compris les serpents et les tortues de mer)............................;20;
0208.90.00; Autres...................................................................;20;
0209.00.00;Lard  sans parties maigres, graisse de porc et graisse de volailles non fondues ni autre;20;
0210.11.00; Jambons, épaules et leurs morceaux, non désossés.....................................;20;
0210.12.00; Poitrines (entrelardées) et leurs morceaux.......;20;
0210.19.00; Autres................................................................;20;
0210.20.00; Viandes de l'espèce bovine.................................;20;
0210.91.00; De primates.........................................................;20;
0210.92.00;" De baleines, dauphins et marsouins (mammifères de l'ordre des cétacés) ; de lamantins";20;
0210.93.00;De reptiles (y compris les serpents et les tortues de mer)..............................;20;
0210.99.00; Autres.................................................................;20;
0301.10.00; Poissons d'ornement ............................................;30;
0301.91.00; Truites  (Salmo  trutta,  Oncorhynchus  mykiss, Oncorhynchus clarki, Oncorhynchus agu;30;
0301.92.00; Anguilles (Anguilla spp.)...................................;30;
0301.93.00; Carpes................................................................;30;
0301.94.00; Thons rouges (Thunnus thynnus) ..;30;
0301.95.00; Thons rouges du sud (Thunnus maccoyii) ;30;
0301.99.00; Autres.................................................................;30;
0302.11.00; Truites  (Salmo  trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguab;20;
0302.12.00;  Saumons du pacifique (oncorhynchus nerka, Oncorhynchus gorbusha, Oncorhynchus keta, ;20;
0302.19.00; Autres...............................................................;20;
0302.21.00; Flétans   (Reinhardtius   hippoglossoides, Hippoglossus  hippoglossus,  Hippoglossus ;20;
0302.22.00; Plies ou carrelets (Pleuronectes platessa)..........;20;
0302.23.00; Soles (Solea spp.)...............................................;20;
0302.29.00; Autres.................................................................;20;
0302.31.00; Thons blancs ou germons (Thunnus alalunga)........;20;
0302.32.00; Thons à nageoires jaunes (Thunnus albacares)....;20;
0302.33.00; Listaos ou bonites à ventre rayé........................;20;
0302.34.00; Thons obèses (Thunus obésus)...........................;20;
0302.35.00; Thons rouges (Thunnus thynnus)................;20;
0302.36.00; Thons rouges du sud (Thunnus maccoyii).......;20;
0302.39.00; Autres..............................................................;20;
0302.40.00; Harengs (Clupea harengus, Clupea pallasii), à l'exclusion des foies, oeufs et laitance;20;
0302.50.00; Morues (Gadus morhua, Gadus ogac, Gadus macrocephalus),  à l'exclusion des foies, oeuf;20;
0302.61.00; Sardines (Sardina pilchardus, Sardinops spp.), sardinelles (Sardinella spp.), sprats ;20;
0302.62.00; Eglefins (Melanogrammus aeglefinus)................;20;
0302.63.00;Lieus noirs (Pollachius virens)................................;20;
0302.64.00; Maquereaux (Scomber scombrus, Scomber australasicus, Scomber japonicus)..............;20;
0302.65.00; Squales.............................................................;20;
0302.66.00; Anguilles (Anguilla spp.).................................;20;
0302.67.00; Espadons (Xiphias gladius) ;20;
0302.68.00; Légines (Dissostichus spp.);20;
0302.69.10; Bars (loups) (Dicentrarchus labrax, Dicentrarchus punctatus)........................;20;
0302.69.90; Autres.................................................................;20;
0302.70.00; Foies, oeufs et laitances.......................................;20;
0303.11.00; Saumons rouges (oncorhynchus nerka)............;20;
0303.19.00; Autres ............................................................;20;
0303.21.00;Truites  (salmo  trutta,  Oncorhynchus  mykiss, Oncorhynchus  clarki,  oncorhynchus   ag;20;
0303.22.00; Saumons de l'Atlantique (Salmo salar) et saumons du Danube (Hucho hucho).............;30;
0303.29.00; Autres.............................................................;20;
0303.31.00; Flétans  (Reinhardtius  hippoglossoides, Hippoglossus  hippoglossus,  Hippoglossus st;20;
0303.32.00; Plies ou carrelets (Pleuronectes platessa).........;20;
0303.33.00; Soles (Solea spp.)...........................................;20;
0303.39.00; Autres................................................................;20;
0303.41.00; Thons blancs ou germons (Thunnus alalunga)...;20;
0303.42.00; Thons à nageoires jaunes (Thunnus albacares)...;20;
0303.43.00; Listaos ou bonites à ventre rayé......................;20;
0303.44.00; Thons obèses (Thunnus obesus).....................;20;
0303.45.00; Thons rouges (Thunnus thynnus).....................;20;
0303.46.00; Thons rouges du sud (Thunnus maccoyii)........;20;
0303.49.00; Autres................................................................;20;
0303.51.00; Harengs (Clupea harengus, Clupea pallasii) ;20;
0303.52.00; Morues (Gadus morhua, Gadus ogac, Gadus macrocephalus) .;20;
0303.61.00; Espadon (Xiphias gladius);20;
0303.62.00; Légines (Dissostichus spp.) ;20;
0303.71.00; Sardines (Sardina pilchardus, Sardinops spp.), sardinelles  (Sardinella spp.),  sprat;20;
0303.72.00;Eglefins (Melanogrammus aeglefinus)...........;20;
0303.73.00; Lieus noirs (Pollachius virens).....................;20;
0303.74.00; Maquereaux (Scomber scombrus, Scomber australasicus, Scomber japonicus)..............;20;
0303.75.00; Squales........................................................;20;
0303.76.00; Anguilles (Anguilla spp.).................................;20;
0303.77.00; Bars (loups) (Dicentrarchus labrax, Dicentrarchus punctatus)....................;20;
0303.78.00; Merlus (Merluccius spp., Urophycis spp.)........;20;
0303.79.00; Autres..............................................................;20;
0303.80.00; Foies, oeufs et laitances..................................;30;
0304.11.00; Espadons (Xiphias gladius) ;30;
0304.12.00; Légines (Dissostichus spp.) ;30;
0304.19.00; Autres ;30;
0304.21.00; Espadons (Xiphias gladius) ;30;
0304.22.00;Légines (Dissostichus spp.) ;30;
0304.29.00;  Autres ;30;
0304.91.00; Espadons (Xiphias gladius) .;30;
0304.92.00; Légines (Dissostichus spp.) ;30;
0304.99.00; Autres : ;30;
0305.10.00; Farines, poudres et agglomérés sous forme de pellets de poisson, propres à l'alimentat;20;
0305.20.00; Foies, oeufs et laitances de poissons, séchés, fumés, salés ou en saumure.............;20;
0305.30.10; De harengs.........................................................;20;
0305.30.20; De morues et de flétans......................................;20;
0305.30.30; De sardines......................................................;20;
0305.30.91; Présentés en caisses ou en boîtes....................;20;
0305.30.99;.Présentés autrement.........................................;20;
0305.41.00; Saumons du Pacifique (Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, ;20;
0305.42.00; Harengs (Clupea harengus, Clupea pallasii)....;20;
0305.49.10; Morues et flétans................................................;20;
0305.49.20; Sardines..............................................................;20;
0305.49.91; Présentés en caisses ou en boîtes.....................;20;
0305.49.99;Présentés autrement...............................................;20;
0305.51.10; Stockfish.........................................................;20;
0305.51.20; Klippfish.............................................................;20;
0305.51.90; Autres.............................................................;20;
0305.59.10; Flétans..........................................................;20;
0305.59.20; Sardines.........................................................;20;
0305.59.91; Présenté en caisses ou en boîtes.....................;20;
0305.59.99; Présentés autrement......................................;20;
0305.61.00; Harengs (Clupea harengus, Clupea pallasii).....;20;
0305.62.10; Stockfish.........................................................;20;
0305.62.20; Klippfish.........................................................;20;
0305.62.90; Autres...............................................................;20;
0305.63.10; Présentés en caisses ou en boîtes........................;20;
0305.63.90; Présentés autrement..........................................;20;
0305.69.10; Flétans...............................................................;20;
0305.69.20; Sardines..........................................................;20;
0305.69.91; Présentés en caisses ou en boîtes.................;20;
0305.69.99; Présentés autrement......................................;20;
0306.11.00; Langoustes (Palinurus spp., Panulirus spp., Jasus spp.)..............................;30;
0306.12.00; Homards (Homarus spp.)................................;30;
0306.13.00; Crevettes............................................................;30;
0306.14.00; Crabes...............................................................;30;
0306.19.00; Autres,  y  compris  les  farines,  poudres  et agglomérés sous forme de pellets de c;30;
0306.21.00; Langoustes (Palinurus spp. Panulirus spp., Jasus spp.)...............................;30;
0306.22.00; Homards (Homarus spp.)..................................;30;
0306.23.00; Crevettes.............................................................;30;
0306.24.00; Crabes................................................................;30;
0306.29.00; Autres, y  compris  les  farines,  poudres  et agglomérés sous forme de pellets de cr;30;
0307.10.00; Huîtres..............................................................;30;
0307.21.00; Vivants, frais ou réfrigérés..............................;30;
0307.29.00; Autres..............................................................;30;
0307.31.00; Vivantes, fraîches ou réfrigérées.......................;30;
0307.39.00; Autres..............................................................;30;
0307.41.00; Vivants, frais ou réfrigérés..................................;30;
0307.49.00; Autres...............................................................;30;
0307.51.00; Vivants, frais ou réfrigérés..............................;30;
0307.59.00; Autres............................................................;30;
0307.60.00; Escargots autres que de mer..............................;30;
0307.91.00; Vivants, frais ou réfrigérés..............................;30;
0307.99.00; Autres..................................................................;30;
0401.10.00; D'une teneur en poids de matières grasses n'excédant pas 1%...........................;5;
0401.20.00; D'une teneur en poids de matières grasses excédant1% mais n'excédant pas 6%...........;5;
0401.30.00; D'une teneur en poids de matières grasses excédant 6%.................................;5;
0402.10.00; En  poudre, en granulés  ou sous d'autres formes solides, d'une teneur en poids de mat;5;
0402.21.00; Sans addition de sucre ou d'autres édulcorants;5;
0402.29.00; Autres................................................................;5;
0402.91.00; Sans addition de sucre ou d'autres édulcorants.....;5;
0402.99.00; Autres................................................................;5;
0403.10.11; Nature................................................................;30;
0403.10.12; Additionné ou aromatisé de fruits.......................;30;
0403.10.13; Additionné ou aromatisé de cacao...................;30;
0403.10.19; Autres................................................................;30;
0403.10.20; A l'état liquide...................................................;30;
0403.90.11; Nature................................................................;30;
0403.90.12; Additionnés ou aromatisés de fruits...................;30;
0403.90.13; Additionnés ou aromatisés de cacao...............;30;
0403.90.19; Autres................................................................;30;
0403.90.20; A l'état liquide.................................................;30;
0404.10.00; Lactosérum, modifié ou non, même concentré ou additionné de sucre ou d'autres édulcora;30;
0404.90.00; Autres.................................................................;30;
0405.10.00; Beurre...................................................................;30;
0405.20.00; Pâtes à tartiner laitières........................................;30;
0405.90.00; Autres...................................................................;30;
0406.10.00; Fromages frais (non affinés), y compris le fromage de lactosérum, et caillebotte......;30;
0406.20.00; Fromages râpés ou en poudre, de tous types.........;30;
0406.30.00; Fromages fondus, autres que râpés ou en poudre..;30;
0406.40.00;  Fromages à pâte persillée et autres fromages présentant des marbrures obtenues en uti;30;
0406.90.00; Autres fromages....................................................;30;
0407.00.10; Oeufs destinés à la reproduction.........................;5;
0407.00.90; Autres oeufs..........................................................;30;
0408.11.00; Séchés..................................................................;30;
0408.19.00; Autres..................................................................;30;
0408.91.00; Séchés..................................................................;30;
0408.99.00; Autres...................................................................;30;
0409.00.00;Miel naturel...........................................................;30;
0410.00.00;Produits  comestibles  d'origine  animale,  non dénommés ni compris ailleurs............;30;
